sep=,
NR,devices_phones.p1,devices_phones.p2,devices_phones.p3,devices_computers.c1,devices_computers.c2,devices_computers.c3,devices_tablets.t1,devices_tablets.t2,devices_smart_watches.sw1,devices_smart_watches.sw2,devices_security_keys.s1,devices_security_keys.s2,How important is the Apple account to you?,Apple account - Password access.I can remember my password,Apple account - Password access.Password manager,Apple account - Password access.Stored by browser / device,Apple account - Password access.I wrote it down on paper,apple_password_pwm.p1,apple_password_pwm.p2,apple_password_pwm.p3,apple_password_pwm.c1,apple_password_pwm.c2,apple_password_pwm.c3,apple_password_pwm.t1,apple_password_pwm.t2,apple_password_device.p1,apple_password_device.p2,apple_password_device.p3,apple_password_device.c1,apple_password_device.c2,apple_password_device.c3,apple_password_device.t1,apple_password_device.t2,apple_trusted_phone.p1,apple_trusted_phone.p2,apple_trusted_phone.p3,Apple account - Trusted phone numbers.None,apple_trusted_device.p1,apple_trusted_device.p2,apple_trusted_device.p3,apple_trusted_device.c1,apple_trusted_device.c2,apple_trusted_device.c3,apple_trusted_device.t1,apple_trusted_device.t2,apple_trusted_device.sw1,apple_trusted_device.sw2,Apple account - Trusted devices.None,apple_security_keys.s1,apple_security_keys.s2,Apple account - Security Keys.None,apple_recovery.fallback_recovery_contact,apple_recovery.fallback_recovery_key,Apple account - Recovery.None,Apple account - Recovery key.Phone 1,Apple account - Recovery key.Phone 2,Apple account - Recovery key.Phone 3,Apple account - Recovery key.Computer 1,Apple account - Recovery key.Computer 2,Apple account - Recovery key.Computer 3,Apple account - Recovery key.Tablet 1,Apple account - Recovery key.Tablet 2
1,p1,,,c1,c2,c3,,,sw1,,,,5,0,,,,,,,,,,,,,,,,,,,,p1,,,,p1,,,,,,,,sw1,,,,,1,,,1,,,,,,,,
2,p1,p2,,c1,c2,,t1,,,,s1,,4,,1,,,,,,c1,,,,,,,,,,,,,p1,,,,,,,,,,t1,,,,,,,1,,,1,,,,,,,,
6,p1,p2,,c1,c2,,,,,,,,4,0,,2,,,,,,,,,,p1,,,c1,,,,,p1,,,,p1,,,c1,,,,,,,,,,1,recovery_contact,,,,,,,,,,
10,p1,,,c1,,,,,sw1,,,,3,,,2,,,,,,,,,,,,,c1,,,,,p1,,,,p1,,,c1,,,t1,,,,,,,1,,,1,,,,,,,,
12,p1,,,c1,c2,,,,,,,,3,,1,,,p1,,,c1,c2,,,,,,,,,,,,p1,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,
13,p1,,,c1,,,,,,,,,5,,,2,,,,,,,,,,p1,,,c1,,,,,p1,,,,p1,,,c1,,,,,,,,,,1,,,1,,,,,,,,
17,p1,,,c1,c2,,t1,,,,,,4,,1,,,p1,,,c1,,,,,,,,,,,,,p1,,,,,,,,,,t1,,,,,,,1,,,1,,,,,,,,
19,p1,,,c1,,,t1,,sw1,,,,4,,1,2,,p1,,,,,,,,,,,c1,,,t1,,p1,,,,,,,c1,,,t1,,,,,,,1,,,1,,,,,,,,
20,p1,p2,,c1,c2,,,,,,,,3,0,,,,,,,,,,,,,,,,,,,,p1,p2,,,,p2,,,,,,,,,,,,,,recovery_key,,p1,,,,,,,
21,p1,,,,,,,,sw1,,,,4,0,,,,,,,,,,,,,,,,,,,,p1,,,,p1,p2,p3,,,,,,sw1,,,,,1,,,1,,,,,,,,
25,p1,,,c1,,,,,sw1,,,,1,0,,,,,,,,,,,,,,,,,,,,p1,,,,,p2,,,,,t1,,,,,,,1,,,1,,,,,,,,
26,p1,,,c1,,,,,sw1,,,,5,,1,,,p1,,,,,,,,,,,,,,,,p1,,,,p1,,,,,,,,sw1,,,,,1,,,1,,,,,,,,
27,p1,,,c1,c2,,,,,,,,5,,1,,,p1,,,c1,c2,,,,,,,,,,,,p1,,,,p1,,,c1,,,,,,,,,,1,,,1,,,,,,,,
28,p1,,,c1,c2,,t1,,,,,,3,0,,,,,,,,,,,,,,,,,,,,p1,,,,p1,,,,,,,,,,,,,1,recovery_contact,,,,,,,,,,
29,p1,,,c1,,,t1,,sw1,,,,5,0,1,,,p1,,,,,,t1,,,,,,,,,,p1,,,,p1,,,,,,t1,,sw1,,,,,1,,,1,,,,,,,,
30,p1,,,c1,c2,c3,,,,,,,4,0,,,,,,,,,,,,,,,,,,,,p1,,,,p1,,,,,,,,,,,,,1,,,1,,,,,,,,
32,p1,,,c1,,,t1,,,,,,4,0,1,,,p1,,,,,,,,,,,,,,,,p1,,,,p1,,,,,,,,,,,s1,,,,,1,,,,,,,,
