sep=,
NR,devices_phones.p1,devices_phones.p2,devices_phones.p3,devices_computers.c1,devices_computers.c2,devices_computers.c3,devices_tablets.t1,devices_tablets.t2,devices_smart_watches.sw1,devices_smart_watches.sw2,devices_security_keys.s1,devices_security_keys.s2,How important is the Facebook account for you?,facebook_password.0,facebook_password.1,facebook_password.2,facebook_password.3,facebook_password_pwm.p1,facebook_password_pwm.p2,facebook_password_pwm.p3,facebook_password_pwm.c1,facebook_password_pwm.c2,facebook_password_pwm.c3,facebook_password_pwm.t1,facebook_password_pwm.t2,facebook_password_device.p1,facebook_password_device.p2,facebook_password_device.p3,facebook_password_device.c1,facebook_password_device.c2,facebook_password_device.c3,facebook_password_device.t1,facebook_password_device.t2,facebook_2fa_enabled,facebook_2fa.2fa_auth_app,facebook_2fa.2fa_phone,facebook_2fa.2fa_security_key,facebook_2fa.2fa_additional,facebook_2fa_auth_app.p1,facebook_2fa_auth_app.p2,facebook_2fa_auth_app.p3,facebook_2fa_auth_app.c1,facebook_2fa_auth_app.c2,facebook_2fa_auth_app.c3,facebook_2fa_auth_app.t1,facebook_2fa_auth_app.t2,facebook_2fa_phone.p1,facebook_2fa_phone.p2,facebook_2fa_phone.p3,facebook_2fa_security_key.s1,facebook_2fa_security_key.s2,facebook_2fa_security_key.p1,facebook_2fa_security_key.p2,facebook_2fa_security_key.p3,facebook_2fa_security_key.c1,facebook_2fa_security_key.c2,facebook_2fa_security_key.c3,facebook_2fa_security_key.t1,facebook_2fa_security_key.t2,facebook_2fa_additional,facebook_2fa_additional_recovery_codes.p1,facebook_2fa_additional_recovery_codes.p2,facebook_2fa_additional_recovery_codes.p3,facebook_2fa_additional_recovery_codes.c1,facebook_2fa_additional_recovery_codes.c2,facebook_2fa_additional_recovery_codes.c3,facebook_2fa_additional_recovery_codes.t1,facebook_2fa_additional_recovery_codes.t2,facebook_recovery.fallback_email,facebook_recovery.fallback_phone,facebook_recovery_phone.p1,facebook_recovery_phone.p2,facebook_recovery_phone.p3
1,p1,,,c1,c2,c3,,,sw1,,,,4,0,,2,,,,,,,,,,p1,,,c1,,c3,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fallback_email,fallback_phone,p1,,
2,p1,p2,,c1,c2,,t1,,,,s1,,3,,1,,,p1,p2,,,,,,,,,,,,,,,yes,2fa_auth_app,,,,p1,p2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fallback_email,,,,
3,p1,,,c1,c2,,,,sw1,,,,4,0,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fallback_email,fallback_phone,p1,,
4,p1,,,c1,c2,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,yes,2fa_auth_app,2fa_phone,,,p1,,,,,,,,p1,,,,,,,,,,,,,,,,,,,,,,fallback_email,fallback_phone,p1,,
6,p1,p2,,c1,c2,,,,,,,,4,0,1,2,,,,,c1,,,,,p1,,,c1,c2,,,,yes,2fa_auth_app,2fa_phone,,,p1,,,,,,,,p1,,,,,,,,,,,,,,,,,,,,,,fallback_email,fallback_phone,p1,,
7,p1,p2,p3,c1,c2,,t1,,sw1,,,,3,0,,2,,,,,,,,,,p1,,,c1,c2,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fallback_email,,,,
9,p1,,,c1,c2,,t1,,sw1,,,,4,0,1,2,,p1,,,c1,,,,,p1,,,c1,,,,,yes,,2fa_phone,,,,,,,,,,,p1,,,,,,,,,,,,,,,,,,,,,,,fallback_phone,p1,,
10,p1,,,c1,,,,,sw1,,,,3,0,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fallback_email,fallback_phone,p1,,
13,p1,,,c1,,,,,,,,,4,,1,2,,p1,,,c1,,,,,p1,,,c1,,,,,yes,2fa_auth_app,,,,p1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fallback_phone,p1,,
15,p1,,,c1,c2,,,,sw1,,,,3,0,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fallback_email,fallback_phone,p1,,
