sep=,
NR,devices_phones.p1,devices_phones.p2,devices_phones.p3,devices_computers.c1,devices_computers.c2,devices_computers.c3,devices_tablets.t1,devices_tablets.t2,devices_smart_watches.sw1,devices_smart_watches.sw2,devices_security_keys.s1,devices_security_keys.s2,How important is the Github account for you?,github_password.0,github_password.1,github_password.2,github_password.3,github_password_pwm.p1,github_password_pwm.p2,github_password_pwm.p3,github_password_pwm.c1,github_password_pwm.c2,github_password_pwm.c3,github_password_pwm.t1,github_password_pwm.t2,github_password_device.p1,github_password_device.p2,github_password_device.p3,github_password_device.c1,github_password_device.c2,github_password_device.c3,github_password_device.t1,github_password_device.t2,github_ passkeys_enabled,github_ passkeys.p1,github_ passkeys.p2,github_ passkeys.p3,github_ passkeys.c1,github_ passkeys.c2,github_ passkeys.c3,github_ passkeys.t1,github_ passkeys.t2,github_2fa_enabled,github_2fa.2fa_auth_app,github_2fa.2fa_phone,github_2fa.2fa_security_key,github_2fa.2fa_githubmobile,github_2fa_auth_app.p1,github_2fa_auth_app.p2,github_2fa_auth_app.p3,github_2fa_auth_app.c1,github_2fa_auth_app.c2,github_2fa_auth_app.c3,github_2fa_auth_app.t1,github_2fa_auth_app.t2,github_2fa_phone.p1,github_2fa_phone.p2,github_2fa_phone.p3,github_2fa_security_key.s1,github_2fa_security_key.s2,github_2fa_security_key.p1,github_2fa_security_key.p2,github_2fa_security_key.p3,github_2fa_security_key.c1,github_2fa_security_key.c2,github_2fa_security_key.c3,github_2fa_security_key.t1,github_2fa_security_key.t2,github_2fa_githubmobile.p1,github_2fa_githubmobile.p2,github_2fa_githubmobile.p3,github_recovery_email,github_recovery_codes,github_recovery_codes.p1,github_recovery_codes.p2,github_recovery_codes.p3,github_recovery_codes.c1,github_recovery_codes.c2,github_recovery_codes.c3,github_recovery_codes.t1,github_recovery_codes.t2,github_recovery_codes.o,Github account - Other recovery methods
1,p1,,,c1,c2,c3,,,sw1,,,,3,0,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,yes,2fa_auth_app,,,,p1,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,o,Vet egentlig ikke. Stod bare aktiv
2,p1,p2,,c1,c2,,t1,,,,s1,,4,0,,,,,,,,,,,,,,,,,,,,Yes,p1,,,,,,,,yes,2fa_auth_app,,2fa_security_key,,p1,p2,,,,,,,,,,s1,,,,,,c2,,,,,,,Yes,No,,,,,,,,,,
3,p1,,,c1,c2,,,,sw1,,,,5,0,,2,,,,,,,,,,p1,,,c1,c2,,,,No,,,,,,,,,yes,,2fa_phone,,2fa_githubmobile,,,,,,,,,p1,,,,,,,,,,,,,p1,,,Yes,Yes,,,,c1,c2,,,,,
4,p1,,,c1,c2,,,,,,,,2,0,,2,,,,,,,,,,,,,c1,,,,,No,,,,,,,,,yes,2fa_auth_app,2fa_phone,,,p1,,,,,,,,p1,,,,,,,,,,,,,,,,Yes,Yes,,,,c1,,,,,,
6,p1,p2,,c1,c2,,,,,,,,3,0,,2,,,,,,,,,,p1,,,c1,,,,,No,,,,,,,,,yes,2fa_auth_app,2fa_phone,,,p1,,,,,,,,p1,,,,,,,,,,,,,,,,Yes,Yes,p1,,,c1,,,,,,
7,p1,p2,p3,c1,c2,,t1,,sw1,,,,3,0,,2,,,,,,,,,,p1,,,c1,c2,,,,No,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,,,,,,,,,,
9,p1,,,c1,c2,,t1,,sw1,,,,1,,,2,,,,,,,,,,,,,c1,,,,,No,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,,,,,,,,,,
10,p1,,,c1,,,,,sw1,,,,4,,,2,,,,,,,,,,,,,c1,,,,,No,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,,,,,,,,,,
12,p1,,,c1,c2,,,,,,,,5,,1,,,p1,,,c1,c2,,,,,,,,,,,,Yes,,,,c1,,,,,yes,2fa_auth_app,,,,p1,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,p1,,,c1,c2,,,,o,Password manager
15,p1,,,c1,c2,,,,sw1,,,,1,0,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,,,,,,,,,,
