NR;devices_phones.p1;devices_phones.p2;devices_phones.p3;devices_computers.c1;devices_computers.c2;devices_computers.c3;devices_tablets.t1;devices_tablets.t2;devices_smart_watches.sw1;devices_smart_watches.sw2;devices_security_keys.s1;devices_security_keys.s2;How important is the Google account for you?;google_password.0;google_password.1;google_password.2;google_password.3;google_password_pwm.p1;google_password_pwm.p2;google_password_pwm.p3;google_password_pwm.c1;google_password_pwm.c2;google_password_pwm.c3;google_password_pwm.t1;google_password_pwm.t2;google_password_device.p1;google_password_device.p2;google_password_device.p3;google_password_device.c1;google_password_device.c2;google_password_device.c3;google_password_device.t1;google_password_device.t2;google_2fa_enabled;Google account - Passkeys enabled?;Google account - Google passkeys.Phone 1;Google account - Google passkeys.Phone 2;Google account - Google passkeys.Phone 3;Google account - Google passkeys.Computer 1;Google account - Google passkeys.Computer 2;Google account - Google passkeys.Computer 3;Google account - Google passkeys.Tablet 1;Google account - Google passkeys.Tablet 2;google_2fa.2fa_prompts;google_2fa.2fa_auth_app;google_2fa.2fa_phone;google_2fa.2fa_backup_codes;google_2fa.2fa_security_key;google_2fa_prompt.p1;google_2fa_prompt.p2;google_2fa_prompt.p3;google_2fa_prompt.t1;google_2fa_prompt.t2;google_2fa_authenticator_app.p1;google_2fa_authenticator_app.p2;google_2fa_authenticator_app.p3;google_2fa_authenticator_app.c1;google_2fa_authenticator_app.c2;google_2fa_authenticator_app.c3;google_2fa_authenticator_app.t1;google_2fa_authenticator_app.t2;google_2fa_phone.p1;google_2fa_phone.p2;google_2fa_phone.p3;google_2fa_security_key.s1;google_2fa_security_key.s2;google_2fa_security_key.p1;google_2fa_security_key.p2;google_2fa_security_key.p3;google_2fa_security_key.c1;google_2fa_security_key.c2;google_2fa_security_key.c3;google_2fa_security_key.t1;google_2fa_security_key.t2;google_recovery.fallback_phone;google_recovery.fallback_email;Google account - Recovery phone.Phone 1;Google account - Recovery phone.Phone 2;Google account - Recovery phone.Phone 3
1;p1;0;0;c1;c2;c3;0;0;sw1;0;0;0;5;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;yes;no;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0
2;p1;p2;0;c1;c2;0;t1;0;0;0;s1;0;5;0;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;yes;yes;1;1;0;0;0;0;1;0;1;1;0;0;1;1;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
3;p1;0;0;c1;c2;0;0;0;sw1;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;yes;yes;1;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0
4;p1;0;0;c1;c2;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;yes;no;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0
6;p1;p2;0;c1;c2;0;0;0;0;0;0;0;5;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;yes;no;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0
7;p1;p2;p3;c1;c2;0;t1;0;sw1;0;0;0;5;1;0;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;yes;no;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0
9;p1;0;0;c1;c2;0;t1;0;sw1;0;0;0;2;0;1;1;1;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;no;no;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
10;p1;0;0;c1;0;0;0;0;sw1;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no;no;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0
12;p1;0;0;c1;c2;0;0;0;0;0;0;0;5;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;yes;no;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0
13;p1;0;0;c1;0;0;0;0;0;0;0;0;4;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;yes;no;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0
